Age,Ethnicities,Median Weekly Earning
16+,White,"1,126"
16-24,White,703
25+,White,"1,177"
25-54,White,"1,172"
55+,White,"1,194"
16+,Black or African American,913
16-24,Black or African American,654
25+,Black or African American,952
25-54,Black or African American,944
55+,Black or African American,985
16+,Asian,"1,449"
16-24,Asian,936
25+,Asian,"1,491"
25-54,Asian,"1,528"
55+,Asian,"1,293"
16+,Hispanic or Latino ethnicity,851
16-24,Hispanic or Latino ethnicity,663
25+,Hispanic or Latino ethnicity,904
25-54,Hispanic or Latino ethnicity,910
55+,Hispanic or Latino ethnicity,874